Name,plateifu,MANGAID,objra,objdec,Type,TType,Unsure,Bars,Edge_on,Tidal,C,E_C,A,E_A,S,E_S,cas_flag
manga-10512-9101 ,10512-9101 ,1-76996  ,135.436308727,3.3857329222,SABab      ,2,1,0.5,0,0,2.612,0.289,0.115,0.011,0.04,0.084,1
manga-10512-9102 ,10512-9102 ,1-605657 ,137.15019,3.21709,Sc         ,5,0,0.0,1,0,3.503,0.159,0.443,0.019,0.81,0.2255,0
manga-10513-12701,10513-12701,1-54225  ,140.652398683,-0.409026807104,S0         ,-2,0,0.0,0,0,4.265,0.157,0.277,0.038,0.57,0.252,1
manga-10513-12702,10513-12702,1-605833 ,140.95013456,2.11272155396,SBd        ,7,0,0.75,0,0,3.35,0.157,0.175,0.02,0.27,0.2695,1
manga-10513-12703,10513-12703,1-54080  ,140.293468411,2.20121341806,SABb       ,3,0,0.5,1,0,3.176,0.267,0.223,0.033,0.54,0.3565,1
manga-10513-12704,10513-12704,1-54539  ,141.447773288,2.08960233347,SBab       ,2,0,1.0,0,0,3.611,0.198,0.035,0.006,0.18,0.108,1
manga-10513-12705,10513-12705,1-54506  ,141.123598297,1.21203549842,Sc         ,5,0,0.0,1,0,3.127,0.175,0.066,0.023,0.12,0.221,1
manga-10513-1902 ,10513-1902 ,1-54240  ,140.372732157,-0.268860484044,SB0        ,-2,0,1.0,0,0,3.862,0.447,0.063,0.015,0.11,0.0615,1
manga-10513-3701 ,10513-3701 ,1-605823 ,140.827895393,1.58311208801,SBa        ,1,0,1.0,0,0,3.546,0.318,0.047,0.003,0.11,0.0795,1
manga-10513-3703 ,10513-3703 ,1-54115  ,140.805132647,2.06006035127,Sb         ,3,1,0.0,0,0,2.672,0.298,0.09,0.016,0.15,0.1885,1
manga-10513-3704 ,10513-3704 ,1-54497  ,141.596842172,1.58176565935,E          ,-5,0,0.0,0,1,3.434,0.368,0.076,0.027,0.11,0.122,1
manga-10513-6101 ,10513-6101 ,1-54313  ,141.440478727,-0.113960101805,E          ,-5,0,0.0,0,0,4.418,0.268,0.321,0.012,-0.01,0.038,1
manga-10513-6102 ,10513-6102 ,1-54314  ,141.583919955,0.457419463447,SB0        ,-2,0,0.75,0,0,4.08,0.345,0.101,1.108,-0.17,0.13,1
manga-10513-6103 ,10513-6103 ,1-54129  ,141.026997849,2.08251109398,SBcd       ,6,0,1.0,1,0,2.779,0.233,0.206,0.001,0.15,0.0095,1
manga-10513-6104 ,10513-6104 ,1-54457  ,142.149234095,1.57855330659,S0a        ,0,0,0.0,0,0,3.545,0.284,0.107,0.011,0.13,0.153,1
manga-10513-9101 ,10513-9101 ,1-54492  ,141.686353761,1.15429681512,Sbc        ,4,0,0.0,0,0,3.283,0.251,0.1,0.014,0.17,0.1495,1
manga-10513-9102 ,10513-9102 ,1-54587  ,141.88658733,1.760245444,S0         ,-2,0,0.0,0,1,4.399,0.21,0.153,0.027,0.32,0.327,1
manga-10514-12701,10514-12701,1-54655  ,143.501509872,2.47729699669,SABc       ,5,0,0.5,0,1,2.865,0.127,0.297,0.082,0.43,0.4725,1
manga-10514-12702,10514-12702,1-77735  ,144.2185935,3.13735266543,SABcd      ,6,0,0.5,0,0,2.766,0.135,0.131,0.048,-0.18,0.318,1
manga-10514-12703,10514-12703,1-77898  ,143.968853917,4.0168115719,SABcd      ,6,0,0.5,0,0,2.851,0.153,0.194,0.121,0.48,0.4135,1
manga-10514-12704,10514-12704,1-78029  ,145.613449472,3.34728135553,SBd        ,7,0,1.0,0,1,3.979,0.093,0.668,0.018,2.13,0.4995,0
manga-10514-12705,10514-12705,1-77704  ,144.62822,2.57328,Sb         ,3,0,0.0,1,0,3.008,0.172,0.698,0.005,1.82,0.2335,0
