plateifu,Predicted_Class,Actual_Class,Type
9043_1901,S,S,Sa         
8597_3701,E,E,Edc        
8602_12705,S,S,SBc        
8258_12703,S,S,SBc        
8241_12701,S,S,SABcd      
8984_9101,E,E,Edc        
9495_12705,S,S,Sc         
8240_6104,S,S,Sc         
8084_3704,S,S,SBcd       
11014_6101,E,E,Edc        
8315_6101,S,S,SBb        
10216_1901,S,S,SABa       
11013_6101,S,S,Sab        
8317_12701,E,E,Edc        
8600_12703,E,E,Edc        
8329_12703,S,S,Sc         
8256_12703,S,S,Sab        
8327_3703,S,S,SABc       
8080_1902,S,S,Sb         
8313_9101,S,S,SABbc      
8461_12702,S,S,SBb        
11963_12705,S,S,Sc         
8338_6101,S,S,Sab        
8546_3703,E,E,Edc        
9033_3702,S,S,Sb         
9884_12704,S,S,Sd         
9885_6104,S,S,SBa        
8946_12701,E,E,Edc        
8080_12705,S,S,Sbc        
8992_3702,S,S,SBa        
8332_3703,E,S,Sab        
12685_12704,S,S,SABab      
11020_3702,S,S,Sb         
11751_12702,S,S,SABcd      
11747_3701,S,S,SBa        
10217_3704,S,S,SBab       
11957_12702,S,S,Sbc        
8939_12704,S,S,SABc       
8983_3703,S,S,SBb        
10837_1901,E,E,Edc        
7980_12702,S,S,Sb         
12622_12704,S,S,SABc       
8566_12702,S,S,Sbc        
11974_1902,S,S,Sa         
11984_9102,S,S,SBd        
9503_6101,E,S,SBa        
8319_6103,S,E,E          
12674_12703,S,S,SABbc      
8091_9102,E,E,E          
10508_12704,S,S,Sd         
8980_9102,S,S,Sc         
8592_12703,E,E,E          
10498_12702,S,S,SABcd      
9090_12702,S,S,SBcd       
12068_3701,E,E,Edc        
10496_9102,S,S,Sbc        
8610_6102,S,S,Sc         
8313_3704,E,E,E          
9087_12705,S,S,SABc       
12675_12703,S,S,SABa       
7962_12702,S,S,SBcd       
8446_9102,S,S,SBbc       
8092_1901,E,E,Edc        
11947_1901,S,S,Sbc        
11007_12705,E,E,Edc        
10222_12701,S,S,Sa         
11751_3702,S,S,SABab      
8465_6103,S,S,Sab        
9026_1901,S,S,Sa         
8263_1902,E,E,E          
8712_6102,S,S,SABcd      
10223_9101,S,S,S          
8565_6104,S,S,SBdm       
7443_12702,S,S,SABb       
11835_3704,S,S,SABbc      
9513_3703,S,S,SBb        
8336_1902,E,E,E          
11947_12705,S,S,Sbc        
9492_12703,S,S,Sbc        
12093_12703,S,S,Sc         
8240_6102,S,S,SABcd      
8153_1901,S,S,SABbc      
11955_12701,S,S,SBcd       
9095_6102,S,S,Sa         
8598_12702,S,S,Sc         
11006_3702,S,S,SABc       
11743_12704,S,S,SBb        
8548_6103,S,S,SABc       
8341_12704,S,S,SBbc       
8592_12701,S,S,SABcd      
12684_3702,E,E,E          
9890_12705,S,S,SBd        
8595_3703,S,E,E          
12769_12702,E,E,E          
8247_9102,E,E,E          
8487_12702,E,E,Edc        
8997_12702,S,S,Sa         
9484_12703,S,S,SBb        
12684_12701,S,S,Sbc        
7972_6101,E,E,Edc        
8485_12705,S,S,Sc         
12088_6104,S,S,Sb         
8486_1901,S,S,Sa         
12082_12702,S,S,SABbc      
11828_9102,S,S,Sdm        
8721_3704,E,E,E          
8715_6102,S,S,Scd        
9002_6103,S,S,Sa         
11824_3701,S,S,SBa        
8446_12703,S,S,SBd        
8314_9102,E,E,E          
8330_9102,S,S,SBb        
11863_6101,E,E,Edc        
9195_3703,S,S,SABa       
9489_6101,E,E,E          
7443_3703,S,E,E          
9043_6104,S,S,Sa         
8145_12702,E,E,E          
12081_9101,S,S,Sc         
9876_3701,S,S,SABa       
11940_12703,E,E,E          
8984_3704,S,S,SABa       
9187_6103,S,S,Sab        
8612_12703,S,S,Sc         
8552_12703,S,S,SABbc      
12700_12701,S,S,Sdm        
12084_3704,E,E,E          
12089_6103,S,S,Sb         
11832_9101,S,S,Sa         
7815_6101,S,S,SABc       
8604_3703,E,S,Sa         
8314_6104,E,E,E          
9088_12703,S,S,Sc         
8093_12703,S,S,SBa        
9496_12701,S,S,Sbc        
12490_3704,S,S,SABab      
8988_9102,S,S,SBab       
8081_3703,S,S,SABcd      
11834_12705,S,S,SBb        
11010_12701,E,E,Edc        
8984_9102,S,S,SBab       
9045_12705,E,E,Edc        
8245_6101,S,S,Sbc        
10497_12704,E,E,E          
12675_12705,E,E,Edc        
11742_9102,S,S,Sb         
8625_12701,S,S,Sa         
8565_6101,S,S,Sb         
10518_1902,S,S,Sab        
8996_12701,S,S,Sc         
8990_3704,E,E,E          
8651_6103,S,S,Sc         
9039_3701,E,E,Edc        
11979_3701,S,S,SBab       
8322_1901,S,S,SBab       
9865_9102,S,S,SABc       
9881_12705,S,S,SBb        
10225_6102,S,S,SABd       
8147_9102,S,S,SABcd      
10515_12703,E,E,E          
12484_6102,E,S,Sab        
9500_12701,S,S,SABc       
8546_12701,E,S,SABa       
8569_12701,S,S,SBab       
8443_12705,S,S,SABb       
8623_12702,S,S,Sc         
8448_3701,S,S,Sb         
9502_6101,S,S,SBab       
12685_12703,S,S,SBc        
8313_12703,S,S,Sbc        
12075_12703,S,S,SBab       
8610_6101,S,S,Sb         
9864_12701,E,E,E          
11980_12703,S,S,SABbc      
10214_6102,E,E,E          
8245_6102,S,S,SABbc      
9043_9102,E,E,E          
9889_12701,S,S,SABab      
10502_12705,S,S,SBa        
8946_12702,S,S,Sb         
10511_12705,S,S,SABc       
8993_12704,S,S,SBcd       
8624_12701,E,E,Edc        
8728_3704,E,E,Edc        
12652_12705,S,S,Sd         
8075_12702,E,E,E          
8456_12703,S,S,SBbc       
8337_12704,S,S,Sd         
8710_3702,S,S,Sa         
9036_12704,S,S,SABbc      
8462_3703,S,S,SBcd       
8092_12704,E,E,E          
8978_12702,S,S,SABb       
9192_3701,S,S,SABab      
11749_9101,S,E,Edc        
12067_12705,S,S,SABb       
7981_12702,E,E,E          
8309_12703,S,S,Sa         
8626_12703,S,S,SBb        
8486_12702,S,S,Sd         
8243_9101,S,S,Sc         
8157_1902,E,E,Edc        
8931_3701,S,S,Sab        
7979_9101,S,S,SABab      
12484_9101,S,S,Sab        
10500_1901,S,S,SABbc      
8458_12701,S,S,Sbc        
10213_12703,S,S,Sd         
8332_6103,S,S,SBa        
12651_1902,E,E,Edc        
8131_3704,E,E,E          
11866_12701,S,S,SBbc       
8341_9102,S,S,SABbc      
9042_6101,S,S,SBb        
11957_12701,S,S,SABab      
12094_12705,S,S,Sc         
11747_1901,S,S,Sa         
12083_9102,S,S,Sbc        
8335_6101,E,E,Edc        
9514_9101,S,S,SBab       
8718_12703,S,S,SBc        
9027_6103,S,S,Sa         
8147_6101,S,S,SABc       
9865_12704,S,S,Sc         
8337_3701,S,S,SBa        
8085_6103,E,E,Edc        
12075_9102,S,S,Sbc        
8988_6101,S,S,SABbc      
9194_3702,S,S,Sa         
8725_6103,E,E,Edc        
8148_12701,S,S,Sab        
10511_3703,S,S,Sb         
8443_12704,S,S,Sa         
12069_12702,S,S,SBd        
8257_3703,S,S,SBab       
11746_1902,E,E,Edc        
12485_3702,S,S,SBa        
9863_12703,S,S,Sb         
9869_12702,S,S,Sb         
8139_3703,S,S,Sd         
8147_6103,S,S,Sb         
11970_3702,S,S,Sc         
8332_12702,S,S,SBab       
7977_12705,S,S,SBbc       
9095_6101,S,S,Sbc        
8593_6104,S,S,SBab       
11750_3704,E,E,E          
9041_3702,S,S,Sbc        
8320_3702,S,S,SBab       
8239_6102,S,S,Sc         
8987_12701,E,E,E          
11963_12703,S,S,SBbc       
12488_3701,S,S,Sa         
11019_6104,S,S,Sc         
10839_9101,S,S,Sbc        
9883_3701,S,S,Sab        
12495_12703,S,S,SABbc      
9504_1902,S,S,SABbc      
8254_3704,S,S,SABbc      
10492_9101,S,S,SABab      
8137_3704,S,S,Sc         
11753_12705,S,S,Sd         
9091_9101,S,S,Sc         
9876_9102,S,S,SBab       
8554_6101,S,S,SBcd       
8985_12701,S,S,SBcd       
8654_6101,S,S,Sbc        
9882_12701,S,S,SABb       
11962_9101,S,S,SABbc      
9090_12701,E,E,E          
11980_12702,S,S,Sc         
9026_9101,S,S,SBab       
12622_1902,S,S,SBa        
12085_12703,S,S,SABb       
8588_12702,S,S,SBd        
11958_9102,S,S,SABb       
9485_12703,S,S,Sc         
7958_3704,S,E,Edc        
9870_6103,S,S,SBab       
8252_12703,S,S,Sbc        
8991_9102,E,E,Edc        
8939_6104,E,E,Edc        
11761_6102,S,S,Sbc        
