plateifu,avg_emline_sflux_cen_oiii_5008,avg_emline_sflux_cen_hb_4862,avg_emline_sflux_cen_nii_6585,avg_emline_sflux_cen_ha_6564,avg_emline_sew_peak_ha_6564,avg_objdec,avg_emline_sflux_cen_oiid_3728,avg_emline_sflux_cen_hb_48621,avg_emline_sflux_cen_oiii_4960,avg_emline_sflux_cen_oiii_50081,avg_emline_sflux_cen_nii_6549,avg_emline_sflux_cen_ha_65641,avg_emline_sflux_cen_nii_65851
9037-12704,61.83407593,67.61009622,46.06062222,71.17929935,9.815852046,43.49322891,41.58762026,67.61009622,6.713488236,61.83407593,64.0291853,71.17929935,46.06062222
9037-12705,46.87940979,21.84617305,58.4624939,71.50399399,6.180362821,43.32057571,85.53347397,21.84617305,13.92784905,46.87940979,24.38500738,71.50399399,58.4624939
9037-1901,3.917201638,1.409625709,4.726045966,3.603917003,0.312965423,43.96166992,10.66201711,1.409625709,-1.159248948,3.917201638,2.362620711,3.603917003,4.726045966
9037-1902,32.73361397,22.3930831,36.30800629,66.1631937,3.79561162,43.98033524,108.9647865,22.3930831,6.331759334,32.73361397,14.35629487,66.1631937,36.30800629
9037-3701,234.9682198,158.4886818,80.67864799,520.6194153,32.63011932,43.50128174,419.9825363,158.4886818,73.2122879,234.9682198,27.50052881,520.6194153,80.67864799
9037-3702,38.06165028,102.8572445,169.911972,477.3771667,30.75109291,43.86546326,66.43630505,102.8572445,8.532961369,38.06165028,58.27715397,477.3771667,169.911972
9037-3703,2.89618504,-0.055875714,1.562052935,0.897130296,0.201006152,44.17225266,-1.96033144,-0.055875714,-0.777830683,2.89618504,0.677305594,0.897130296,1.562052935
9037-3704,20.37647565,16.05270704,15.55844911,4.369366487,0.567194879,43.75125122,7.458305995,16.05270704,-0.457073261,20.37647565,9.434462547,4.369366487,15.55844911
9037-6101,80.99864197,52.06331921,19.76120663,150.9672089,8.626186371,43.63687897,161.5051765,52.06331921,28.33253479,80.99864197,6.27277863,150.9672089,19.76120663
9037-6102,1.083817959,2.166265905,1.350051701,1.816781372,0.215213295,43.40729523,-2.661743581,2.166265905,0.481043465,1.083817959,0.569583096,1.816781372,1.350051701
9037-6103,62.75931549,31.64023376,113.7736187,63.77035046,4.470766604,43.9132843,136.1595192,31.64023376,12.73964977,62.75931549,37.71516037,63.77035046,113.7736187
9037-6104,160.4902077,36.50776339,151.9909935,82.07327747,5.814511895,43.51405716,66.57388496,36.50776339,22.13317823,160.4902077,57.65520668,82.07327747,151.9909935
9037-9101,193.8408775,193.6399498,126.5216312,663.5306702,46.12189293,43.73320007,469.5426025,193.6399498,63.88253498,193.8408775,41.01182556,663.5306702,126.5216312
9037-9102,10.12930393,23.62047911,36.21683407,101.8692093,23.71410656,43.82482147,36.92844582,23.62047911,2.657021105,10.12930393,12.76115632,101.8692093,36.21683407
9038-12701,7.321030458,9.473863284,-9.650312424,1.764702717,0.819376369,42.16654968,2.818318129,9.473863284,-1.052118381,7.321030458,1.428707918,1.764702717,-9.650312424
9038-12702,92.81914711,53.21747065,154.1797028,104.825985,6.567935109,42.03421021,86.27104568,53.21747065,21.02026844,92.81914711,44.58486366,104.825985,154.1797028
9038-12703,21.50565004,50.46294594,114.5903416,233.2648544,15.38497114,42.10536957,55.53882599,50.46294594,4.64829421,21.50565004,39.42934895,233.2648544,114.5903416
9038-12704,26.6328454,29.42190075,22.9382391,99.68250847,8.076020837,42.02806854,83.37095451,29.42190075,8.345099688,26.6328454,9.300500154,99.68250847,22.9382391
9038-12705,205.0080566,123.650219,86.25631142,426.2658768,29.03221035,41.87959671,274.9287643,123.650219,64.31895447,205.0080566,28.82518721,426.2658768,86.25631142
9038-1901,17.41996574,30.74772501,66.22381592,124.5111961,7.789423823,41.9603157,39.33546448,30.74772501,6.177734375,17.41996574,21.1584897,124.5111961,66.22381592
