plateifu,avg_emline_sflux_cen_oiii_5008,avg_emline_sflux_cen_hb_4862,avg_emline_sflux_cen_nii_6585,avg_emline_sflux_cen_ha_6564,avg_emline_sew_peak_ha_6564,Classification
10510-12701,7.354843438,7.797565818,3.423422158,2.913158745,1.528472155,Passive
10510-12702,7.26867497,-0.951034904,-2.807881415,8.32835412,0.868116319,Passive
10510-12703,4.697039008,9.21641016,9.24019599,28.14764929,7.611108422,SFG
10510-12704,6785.299805,569.3378448,2418.563354,2149.821106,164.4540825,AGN
10510-12705,10.51898074,11.45142394,27.69805527,21.35605669,7.308109283,AGN
10510-1901,38.85210133,26.75707769,17.38337088,17.58952582,1.334609166,Passive
10510-1902,19.21086161,10.51820367,5.3421546,35.53501482,2.384390965,Passive
10510-3701,17.81611347,4.207768857,6.662091017,9.00192976,0.59968856,Passive
10510-3702,8.911974271,7.769640764,4.192094962,3.989469687,0.485300372,Passive
10510-3703,5.760963276,3.706846356,9.195517063,11.63341153,1.104568183,Passive
10510-3704,123.3650684,57.69908905,108.1307106,185.8209038,11.68738699,AGN
10510-6101,21.75594091,13.77250266,35.026227,47.34129429,3.955304801,Unclassified
10510-6102,14.08266735,9.567301114,7.644135157,7.520668983,0.600810627,Passive
10510-6103,573.7410889,297.5047073,2433.55426,1561.397827,86.97163963,AGN
10510-6104,14.88379256,10.70581659,-15.21527322,3.227250258,1.58116591,Passive
10510-9101,7.332498908,8.91630578,7.404160738,30.82415056,2.152997196,Passive
10510-9102,126.3264446,37.99010897,256.4893227,104.7782269,6.523197293,AGN
10838-12701,108.0060787,116.7198086,85.47669792,406.0507736,24.15870333,SFG
10838-12702,4.750287533,2.817011038,1.835587263,2.40644153,0.285358081,Passive
10838-12703,12.25877881,14.38942146,12.00765896,43.60630322,4.453912377,Unclassified
10838-12704,104.7508965,72.78136635,50.76804543,285.9825974,19.60423231,SFG
10838-12705,142.5409737,27.13931227,100.4177094,125.5532684,9.90929091,AGN
10838-1901,16.24316359,7.682402968,11.56370974,10.53254104,0.652604133,Passive
10838-1902,12.68702197,13.27585053,61.46410465,85.75388908,5.468850613,Unclassified
10838-3701,6.218914032,4.214523971,19.64653158,10.62685466,0.917504206,Passive
10838-3702,136.8073654,100.9634953,57.68486404,320.8255997,71.35241699,SFG
10838-3703,50.29865265,31.51010418,67.08747292,69.93561077,4.333038807,Unclassified
10838-3704,3.394342542,2.260448098,-1.905919611,1.015557911,0.323887482,Passive
10838-6101,9.439789914,9.7238454,6.964442119,34.60013524,4.840054035,Unclassified
10838-6102,622.9248962,210.84095,47.14531517,711.2271576,49.02115822,SFG
10838-6103,90.18206215,62.796628,32.57185268,199.1938744,14.54149532,SFG
10838-6104,85.50707817,50.04864359,55.87193298,68.01297474,4.093140304,Unclassified
10838-9101,31.01437712,50.77030468,104.3509445,193.5379486,17.02518559,SFG
10838-9102,17.49885559,48.93319416,66.68758011,186.6355095,10.30507278,SFG
11011-12703,11.14160943,26.64558315,55.91902351,99.32454109,14.09997201,SFG
11011-12704,11.01817513,6.071147124,9.997190475,2.789759318,1.220873038,Passive
11011-12705,8.482335329,23.09764481,43.61610413,105.3319836,8.986297369,SFG
11011-1901,25.77456045,18.24176377,32.85173559,17.34211522,1.319199428,Passive
11011-1902,2399.210938,903.8743439,2190.126465,2499.340515,170.9762268,AGN
11011-3701,19.25303531,27.79230261,27.18459177,52.90318584,4.237581432,Unclassified
11011-3702,30.05461407,13.58688259,29.31491899,38.89476013,2.74854666,Passive
11011-3703,18.602896,15.62011337,13.84429049,24.17349291,3.896051109,Unclassified
11011-3704,91.76290512,24.84271049,132.7649498,85.25696373,5.64720273,Unclassified
11011-6101,6.100235522,7.564810082,7.933621168,7.322181702,0.576313086,Passive
11011-6102,4.420063019,5.659195766,5.351323634,20.32743287,1.697980613,Passive
11011-6103,9.19393456,0.682305694,19.12358713,14.57199955,1.492318004,Passive
11011-6104,15.49384499,38.74647999,37.31122303,123.8519878,7.316204071,SFG
11011-9101,8.125087976,7.424499452,29.85113239,18.08435392,1.380028427,Passive
11011-9102,7.617424488,10.30829775,0.323900074,12.02605975,1.304911733,Passive
11012-12701,11.22224259,7.735174,22.38206577,19.282022,1.793336064,Passive
11012-12702,19.85075188,18.64534283,61.45265102,33.43993664,5.163776636,Unclassified
11012-12703,6.194122314,18.19803047,24.47166824,67.43009567,6.67900002,SFG
11012-12704,9.878723383,10.22195256,22.93938255,33.17233944,2.174170911,Passive
11012-12705,49.06633663,25.84040976,100.6037807,71.82644081,4.98702991,Unclassified
11012-1901,6.105023146,7.755763471,2.74692148,4.08568567,0.552034795,Passive
11012-1902,7.121881366,3.180467486,2.976360887,5.554128885,0.592168808,Passive
11012-3701,6.242478967,-1.701818496,6.644449592,4.197851196,0.970221177,Passive
11012-3702,38.0788517,110.0605602,214.0385361,491.9468231,27.45208025,SFG
11012-3703,26.06228971,14.83988559,36.76922035,27.40975046,1.831444919,Passive
11012-3704,8.956891298,6.099423647,22.78744984,25.97311783,1.704825401,Passive
11012-6101,10.89419913,49.39355278,73.15928841,209.3495064,11.06127095,SFG
11012-6102,11.79947495,43.79067135,70.54439163,205.4674034,11.3772223,SFG
11012-6103,5.26763618,8.698125601,14.55824447,33.6943779,1.798880458,Passive
11012-6104,53.96199989,28.23873758,54.67738819,60.12699318,3.306580245,Unclassified
11012-9101,10.31677771,9.613031688,8.528236151,9.495175481,1.00171189,Passive
11012-9102,22.27910566,36.24468994,81.63518333,151.7770691,13.19524908,SFG
11013-12701,3.998819272,3.741367261,3.695249637,16.30093956,8.696285248,SFG
11013-12702,14.73824835,36.90120697,63.47406387,163.001049,10.81573749,SFG
11013-12703,5.42270124,11.93327546,12.7933917,39.76027012,2.752800763,Passive
11013-12704,9.017833948,14.00712967,21.13938475,56.6068182,6.517822862,SFG
11013-12705,17.85603523,20.60018635,16.68296862,71.0967617,11.73820996,SFG
11013-1901,27.49788713,17.21817148,42.74526119,15.84842038,1.225083515,Passive
11013-1902,97.21092987,130.2773972,172.8044853,539.302948,32.86754131,SFG
11013-3701,20.8840642,34.01940012,60.18702984,129.874279,17.85481358,SFG
11013-3702,355.3884888,259.9725037,1198.594635,962.518692,56.64973736,AGN
11013-3703,33.92678928,43.28578377,35.86962891,142.7802353,41.50158024,SFG
11013-3704,25.48179007,49.04761219,48.15082455,174.083252,10.99226356,SFG
11013-6101,1510.962738,626.6792908,4073.131287,4049.166809,247.4845581,AGN
